Date (dd/mm/yy),Generated (kWh),Efficiency (kWh/kW),Exported (kWh),Peak Power (kW),Peak Time (hh:mm:am/pm),Weather Conditions (category)
22/10/19,1248.752,4.319,,186.25599999999997,12:15PM,Partly Cloudy
21/10/19,1253.434,4.335,,186.304,12:30PM,Partly Cloudy
20/10/19,1278.406,4.421,,191.326,12:30PM,Partly Cloudy
19/10/19,1296.4360000000001,4.484,,193.17,12:45PM,Partly Cloudy
18/10/19,1276.786,4.416,,192.71200000000002,12:30PM,Partly Cloudy
17/10/19,1305.585,4.515,,199.523,12:30PM,Partly Cloudy
16/10/19,1283.127,4.438,,190.612,12:45PM,Partly Cloudy
15/10/19,1319.016,4.562,,195.005,12:45PM,Partly Cloudy
14/10/19,1349.6660000000002,4.668,,199.62,12:30PM,Partly Cloudy
13/10/19,1321.3670000000002,4.57,,199.79,12:15PM,Partly Cloudy
12/10/19,1386.632,4.796,,201.02200000000002,12:30PM,Partly Cloudy
11/10/19,1387.171,4.798,,198.995,12:30PM,Partly Cloudy
10/10/19,1375.346,4.757,,201.18099999999998,12:30PM,Partly Cloudy
09/10/19,1389.031,4.803999999999999,,205.232,1:00PM,Partly Cloudy
08/10/19,1429.9229999999998,4.945,,204.187,12:45PM,Partly Cloudy
07/10/19,1436.2279999999998,4.967,,202.357,12:15PM,Partly Cloudy
06/10/19,1458.818,5.045,,202.828,12:00PM,Fine
05/10/19,1488.026,5.146,,207.041,12:00PM,Fine
04/10/19,1516.04,5.242999999999999,,210.715,12:45PM,Fine
03/10/19,1505.774,5.207999999999999,,210.287,1:00PM,Fine
02/10/19,1521.1889999999999,5.261,,213.49099999999999,12:45PM,Fine
01/10/19,1533.771,5.305,,215.34400000000002,12:15PM,Fine
30/09/19,1574.345,5.445,,215.32299999999998,12:30PM,Fine
29/09/19,1450.191,5.016,,224.935,12:45PM,Fine
28/09/19,885.671,3.063,,200.856,1:45PM,Mostly Cloudy
27/09/19,582.513,2.015,,140.525,1:45PM,Cloudy
26/09/19,427.98199999999997,1.48,,116.449,3:15PM,Cloudy
25/09/19,1382.931,4.783,,208.53400000000002,1:00PM,Partly Cloudy
24/09/19,1497.6170000000002,5.18,,205.15900000000002,12:15PM,Fine
23/09/19,1546.63,5.349,,212.805,12:45PM,Fine
22/09/19,1389.4620000000002,4.805,,204.732,1:45PM,Partly Cloudy
21/09/19,1569.109,5.4270000000000005,,213.26,12:45PM,Fine
20/09/19,1427.7579999999998,4.938,,213.368,12:45PM,Partly Cloudy
19/09/19,1300.438,4.498,,152.688,9:45AM,Partly Cloudy
18/09/19,1051.373,3.636,,181.262,1:45PM,Mostly Cloudy
17/09/19,1420.652,4.913,,173.415,10:30AM,Partly Cloudy
16/09/19,868.9169999999999,3.005,,179.10299999999998,1:00PM,Mostly Cloudy
15/09/19,1284.182,4.441,,161.076,10:15AM,Partly Cloudy
14/09/19,1356.5220000000002,4.692,,162.083,10:00AM,Partly Cloudy
13/09/19,1555.9029999999998,5.381,,205.019,12:30PM,Fine
12/09/19,1585.259,5.483,,212.38,12:45PM,Fine
11/09/19,1417.385,4.902,,214.924,12:15PM,Partly Cloudy
10/09/19,1327.648,4.592,,216.287,1:00PM,Partly Cloudy
09/09/19,1313.567,4.543,,175.408,10:15AM,Partly Cloudy
08/09/19,1422.631,4.92,,167.78400000000002,10:00AM,Partly Cloudy
07/09/19,1405.545,4.861000000000001,,162.6,10:00AM,Partly Cloudy
06/09/19,1369.5729999999999,4.737,,160.96,10:15AM,Partly Cloudy
05/09/19,1320.203,4.566,,161.083,10:15AM,Partly Cloudy
04/09/19,948.403,3.28,,160.648,1:00PM,Mostly Cloudy
03/09/19,1274.502,4.408,,187.024,12:30PM,Partly Cloudy
02/09/19,1287.0919999999999,4.4510000000000005,,201.41400000000002,12:15PM,Partly Cloudy
01/09/19,1355.8429999999998,4.689,,189.938,12:45PM,Partly Cloudy
31/08/19,1428.8670000000002,4.942,,193.953,1:15PM,Partly Cloudy
30/08/19,1441.8339999999998,4.987,,194.356,1:00PM,Partly Cloudy
29/08/19,1446.9189999999999,5.004,,193.921,12:45PM,Fine
28/08/19,1354.375,4.684,,195.52599999999998,12:30PM,Partly Cloudy
22/08/19,1502.6979999999999,5.197,,207.86900000000003,1:00PM,Fine
21/08/19,1579.941,5.4639999999999995,,204.007,1:00PM,Fine
20/08/19,1555.12,5.377999999999999,,207.078,1:00PM,Fine
19/08/19,1531.682,5.297000000000001,,205.75799999999998,12:30PM,Fine
18/08/19,1567.769,5.422000000000001,,208.437,1:00PM,Fine
17/08/19,1620.943,5.606,,209.72099999999998,1:00PM,Fine
16/08/19,1620.376,5.604,,207.61,1:00PM,Fine
15/08/19,1602.058,5.541,,204.06099999999998,12:45PM,Fine
14/08/19,1623.338,5.614,,208.51,1:00PM,Fine
13/08/19,1623.714,5.6160000000000005,,205.61900000000003,12:45PM,Fine
12/08/19,1587.3029999999999,5.49,,209.102,1:00PM,Fine
11/08/19,1612.79,5.577999999999999,,211.49400000000003,1:00PM,Fine
10/08/19,1652.6429999999998,5.716,,210.185,12:45PM,Fine
09/08/19,1634.639,5.653,,209.37,1:00PM,Fine
08/08/19,1633.735,5.65,,209.804,1:00PM,Fine
07/08/19,1578.375,5.459,,205.84099999999998,1:00PM,Fine
06/08/19,1578.629,5.46,,207.18200000000002,12:45PM,Fine
05/08/19,1660.832,5.744,,211.706,1:00PM,Fine
04/08/19,1655.0739999999998,5.724,,209.047,1:00PM,Fine
03/08/19,1593.165,5.51,,214.051,12:45PM,Fine
02/08/19,1602.484,5.542000000000001,,209.666,1:15PM,Fine
01/08/19,1676.915,5.8,,212.58900000000003,12:45PM,Fine
31/07/19,1627.229,5.627999999999999,,210.801,12:45PM,Fine
30/07/19,1664.558,5.757000000000001,,215.553,2:00PM,Fine
29/07/19,1682.97,5.821000000000001,,210.692,12:30PM,Fine
28/07/19,1606.745,5.557,,219.417,1:15PM,Fine
27/07/19,1662.067,5.747999999999999,,207.795,12:45PM,Fine
26/07/19,1643.58,5.684,,206.705,1:00PM,Fine
25/07/19,1442.045,4.987,,216.87900000000002,12:45PM,Partly Cloudy
24/07/19,1433.021,4.956,,217.35,1:15PM,Partly Cloudy
23/07/19,1287.5910000000001,4.453,,210.56900000000002,12:30PM,Partly Cloudy
22/07/19,1263.42,4.37,,208.642,12:00PM,Partly Cloudy
21/07/19,1720.5320000000002,5.9510000000000005,,218.486,1:00PM,Fine
20/07/19,1734.5710000000001,5.999,,2271,1:00PM,Fine
19/07/19,1702.745,5.888999999999999,,217.93200000000002,12:15PM,Fine
18/07/19,1742.766,6.027,,221.62099999999998,12:45PM,Fine
17/07/19,1786.185,6.178,,220.637,12:30PM,Fine
16/07/19,1801.2060000000001,6.23,,221.6,1:15PM,Fine
15/07/19,1760.3129999999999,6.087999999999999,,210.261,12:30PM,Fine
14/07/19,1783.6070000000002,6.169,,215.21400000000003,1:00PM,Fine
13/07/19,1756.5839999999998,6.075,,215.05700000000002,12:30PM,Fine
12/07/19,1762.2879999999998,6.095,,215.21900000000002,1:00PM,Fine
11/07/19,1799.7160000000001,6.224,,219.7,12:45PM,Fine
10/07/19,1744.4920000000002,6.0329999999999995,,217.512,1:00PM,Fine
09/07/19,1820.975,6.297999999999999,,223.639,1:00PM,Fine
08/07/19,1717.3970000000002,5.94,,223.834,1:15PM,Fine
07/07/19,1552.819,5.37,,231.602,1:00PM,Fine
06/07/19,1675.289,5.794,,225.201,12:30PM,Fine
05/07/19,1779.98,6.156000000000001,,224.237,12:45PM,Fine
04/07/19,1780.134,6.157,,226.46,1:15PM,Fine
03/07/19,1777.983,6.149,,230.55700000000002,12:45PM,Fine
02/07/19,1849.594,6.397,,222.921,1:00PM,Fine
01/07/19,1836.1429999999998,6.35,,219.65900000000002,12:30PM,Fine
30/06/19,1775.4579999999999,6.14,,218.00799999999998,1:00PM,Fine
29/06/19,1053.751,3.6439999999999997,,196.59400000000002,11:45AM,Mostly Cloudy
28/06/19,1807.961,6.252999999999999,,227.343,1:00PM,Fine
27/06/19,1722.02,5.956,,227.377,12:30PM,Fine
26/06/19,1713.056,5.925,,226.882,12:30PM,Fine
25/06/19,1303.346,4.508,,236.47799999999998,12:30PM,Partly Cloudy
24/06/19,1771.3570000000002,6.126,,228.013,12:45PM,Fine
23/06/19,1564.741,5.412000000000001,,230.142,12:45PM,Fine
22/06/19,1411.7839999999999,4.883,,233.93,1:00PM,Partly Cloudy
21/06/19,1437.045,4.97,,244.04,1:45PM,Partly Cloudy
20/06/19,1412.805,4.886,,223.361,12:15PM,Partly Cloudy
19/06/19,1698.69,5.875,,222.01,12:45PM,Fine
18/06/19,1582.276,5.472,,224.17,12:30PM,Fine
17/06/19,820.4110000000001,2.8369999999999997,,196.229,11:45AM,Mostly Cloudy
16/06/19,1380.354,4.774,,247.778,12:30PM,Partly Cloudy
15/06/19,1704.2920000000001,5.894,,220.505,1:30PM,Fine
14/06/19,1751.0,6.0520000000000005,,226.40599999999998,12:30PM,Fine
13/06/19,1590.931,5.502000000000001,,227.785,1:15PM,Fine
12/06/19,1820.8670000000002,6.297999999999999,,219.583,12:45PM,Fine
11/06/19,1712.641,5.922999999999999,,221.75,1:30PM,Fine
10/06/19,1693.4170000000001,5.857,,215.622,12:15PM,Fine
09/06/19,1831.024,6.332999999999999,,218.674,1:00PM,Fine
08/06/19,1875.491,6.486000000000001,,228.305,1:00PM,Fine
07/06/19,1647.267,5.697,,228.65900000000002,12:30PM,Fine
06/06/19,1752.505,6.061,,227.942,12:15PM,Fine
05/06/19,1423.336,4.923,,228.045,12:00PM,Partly Cloudy
04/06/19,1423.336,4.923,,228.045,12:00PM,Partly Cloudy
03/06/19,1162.147,4.019,,237.524,2:00PM,Partly Cloudy
02/06/19,1554.953,5.377999999999999,,252.03799999999998,2:00PM,Fine
01/06/19,1397.951,4.835,,250.618,12:45PM,Partly Cloudy
31/05/19,1468.422,5.079,,226.67700000000002,12:45PM,Fine
30/05/19,1771.533,6.127000000000001,,222.40900000000002,1:00PM,Fine
29/05/19,1867.376,6.457999999999999,,228.40400000000002,1:15PM,Fine
28/05/19,1874.681,6.484,,229.213,1:00PM,Fine
27/05/19,1740.88,6.021,,257.622,12:30PM,Fine
26/05/19,432.166,1.495,,83.522,3:00PM,Cloudy
25/05/19,1517.398,5.247999999999999,,200.139,9:45AM,Fine
24/05/19,1899.9379999999999,6.571000000000001,,231.68,12:45PM,Fine
23/05/19,825.943,2.8569999999999998,,204.577,12:00PM,Mostly Cloudy
22/05/19,1322.269,4.573,,256.726,12:00PM,Partly Cloudy
21/05/19,1067.499,3.6919999999999997,,214.89700000000002,1:00PM,Mostly Cloudy
20/05/19,1370.276,4.739,,227.13,12:30PM,Partly Cloudy
19/05/19,843.523,2.917,,193.889,3:45PM,Mostly Cloudy
18/05/19,1702.914,5.89,,228.81799999999998,1:00PM,Fine
17/05/19,1606.536,5.556,,255.312,2:00PM,Fine
16/05/19,1030.886,3.565,,240.18,2:15PM,Mostly Cloudy
15/05/19,1191.004,4.119,,207.37,2:15PM,Partly Cloudy
14/05/19,1710.6879999999999,5.916,,226.926,12:45PM,Fine
13/05/19,1368.1129999999998,4.732,,222.34799999999998,12:45PM,Partly Cloudy
12/05/19,1721.9660000000001,5.955,,223.45,12:45PM,Fine
11/05/19,989.681,3.423,,234.797,2:00PM,Mostly Cloudy
10/05/19,644.113,2.228,,153.963,10:15AM,Cloudy
09/05/19,371.501,1.285,,112.00200000000001,12:00PM,Cloudy
08/05/19,523.003,1.8090000000000002,,83.13,2:00PM,Cloudy
07/05/19,683.403,2.364,,169.502,3:15PM,Cloudy
06/05/19,1087.934,3.763,,237.826,11:15AM,Mostly Cloudy
05/05/19,1707.632,5.906000000000001,,241.22099999999998,12:15PM,Fine
04/05/19,1748.904,6.0489999999999995,,226.56799999999998,12:30PM,Fine
03/05/19,1512.662,5.232,,226.773,12:45PM,Fine
02/05/19,1567.8329999999999,5.422000000000001,,235.63,12:30PM,Fine
01/05/19,1626.88,5.627000000000001,,228.33700000000002,12:45PM,Fine
30/04/19,553.9780000000001,1.916,,154.22299999999998,11:15AM,Cloudy
29/04/19,505.842,1.749,,106.584,1:30PM,Cloudy
28/04/19,1235.969,4.275,,241.343,12:30PM,Partly Cloudy
27/04/19,1428.85,4.942,,224.515,1:15PM,Partly Cloudy
26/04/19,1640.734,5.675,,225.421,1:00PM,Fine
25/04/19,1716.874,5.938,,220.13299999999998,1:15PM,Fine
24/04/19,1714.9660000000001,5.931,,222.96400000000003,1:00PM,Fine
23/04/19,1699.1989999999998,5.877000000000001,,226.80599999999998,12:30PM,Fine
22/04/19,1697.789,5.872000000000001,,229.87,12:45PM,Fine
21/04/19,1710.3239999999998,5.915,,252.63400000000001,1:00PM,Fine
20/04/19,1680.58,5.812,,238.96900000000002,1:00PM,Fine
19/04/19,1742.8970000000002,6.028,,237.52599999999998,12:00PM,Fine
18/04/19,1739.594,6.016,,224.953,12:15PM,Fine
17/04/19,1782.362,6.164,,226.386,12:30PM,Fine
16/04/19,709.0189999999999,2.452,,216.326,1:15PM,Cloudy
15/04/19,1733.245,5.994,,226.549,12:45PM,Fine
14/04/19,1661.825,5.747000000000001,,224.825,1:00PM,Fine
13/04/19,1753.864,6.066,,225.68099999999998,1:00PM,Fine
12/04/19,1545.901,5.347,,235.207,1:45PM,Fine
11/04/19,1579.1879999999999,5.462000000000001,,225.18200000000002,1:15PM,Fine
10/04/19,1799.339,6.223,,234.372,1:00PM,Fine
09/04/19,1647.305,5.697,,235.47,12:30PM,Fine
08/04/19,1588.3139999999999,5.492999999999999,,225.195,12:45PM,Fine
07/04/19,1680.879,5.813,,228.69299999999998,12:15PM,Fine
06/04/19,1639.741,5.671,,238.149,1:00PM,Fine
05/04/19,732.5010000000001,2.533,,141.971,10:15AM,Mostly Cloudy
04/04/19,1122.8319999999999,3.883,,261.01,12:00PM,Mostly Cloudy
