Date (dd/mm/yy),Time (12 Hour),Generated (W)
24/10/19,6:15PM,60.0
24/10/19,6:00PM,79.0
24/10/19,5:45PM,744.0
24/10/19,5:30PM,2927.0
24/10/19,5:15PM,4873.0
24/10/19,5:00PM,24421.0
24/10/19,4:45PM,45181.0
24/10/19,4:30PM,59903.0
24/10/19,4:15PM,74894.0
24/10/19,4:00PM,88832.0
24/10/19,3:45PM,101744.0
24/10/19,3:30PM,114839.0
24/10/19,3:15PM,127756.0
24/10/19,3:00PM,137688.0
24/10/19,2:45PM,145928.0
24/10/19,2:30PM,153480.0
24/10/19,2:15PM,159955.0
24/10/19,2:00PM,165335.0
24/10/19,1:45PM,167308.0
24/10/19,1:30PM,171476.0
24/10/19,1:15PM,177784.0
24/10/19,1:00PM,180963.0
24/10/19,12:45PM,183346.0
24/10/19,12:30PM,184052.0
24/10/19,12:15PM,185087.0
24/10/19,12:00PM,183989.0
24/10/19,11:45AM,181408.0
24/10/19,11:30AM,177118.0
24/10/19,11:15AM,171770.0
24/10/19,11:00AM,169070.0
24/10/19,10:45AM,164204.0
24/10/19,10:30AM,159352.0
24/10/19,10:15AM,152476.0
24/10/19,10:00AM,144635.0
24/10/19,9:45AM,134656.0
24/10/19,9:30AM,123603.0
24/10/19,9:15AM,111709.0
24/10/19,9:00AM,99295.0
24/10/19,8:45AM,85019.0
24/10/19,8:30AM,69830.0
24/10/19,8:15AM,54697.0
24/10/19,8:00AM,39156.0
24/10/19,7:45AM,25328.0
24/10/19,7:30AM,12484.0
24/10/19,7:15AM,4144.0
24/10/19,7:00AM,863.0
24/10/19,6:45AM,19.0
24/10/19,6:30AM,60.0
23/10/19,6:00PM,60.0
23/10/19,5:45PM,777.0
23/10/19,5:30PM,2787.0
23/10/19,5:15PM,4613.0
23/10/19,5:00PM,25819.0
23/10/19,4:45PM,45618.0
23/10/19,4:30PM,59657.0
23/10/19,4:15PM,74268.0
23/10/19,4:00PM,87853.0
23/10/19,3:45PM,101015.0
23/10/19,3:30PM,113723.0
23/10/19,3:15PM,124495.0
23/10/19,3:00PM,133783.0
23/10/19,2:45PM,142975.0
23/10/19,2:30PM,151648.0
23/10/19,2:15PM,159897.0
23/10/19,2:00PM,165452.0
23/10/19,1:45PM,169054.0
23/10/19,1:30PM,173764.0
23/10/19,1:15PM,177598.0
23/10/19,1:00PM,181565.0
23/10/19,12:45PM,182614.0
23/10/19,12:30PM,182978.0
23/10/19,12:15PM,182310.0
23/10/19,12:00PM,180919.0
23/10/19,11:45AM,178982.0
23/10/19,11:30AM,176482.0
23/10/19,11:15AM,172655.0
23/10/19,11:00AM,168066.0
23/10/19,10:45AM,162826.0
23/10/19,10:30AM,156466.0
23/10/19,10:15AM,149948.0
23/10/19,10:00AM,143365.0
23/10/19,9:45AM,133902.0
23/10/19,9:30AM,123233.0
23/10/19,9:15AM,112152.0
23/10/19,9:00AM,99395.0
23/10/19,8:45AM,85466.0
23/10/19,8:30AM,70091.0
23/10/19,8:15AM,55355.0
23/10/19,8:00AM,40116.0
23/10/19,7:45AM,25973.0
23/10/19,7:30AM,13307.0
23/10/19,7:15AM,4501.0
23/10/19,7:00AM,1169.0
23/10/19,6:45AM,8.0
22/10/19,6:00PM,60.0
22/10/19,5:45PM,775.0
22/10/19,5:30PM,2586.0
22/10/19,5:15PM,4975.0
22/10/19,5:00PM,27547.0
22/10/19,4:45PM,47341.0
22/10/19,4:30PM,61953.0
22/10/19,4:15PM,76563.0
22/10/19,4:00PM,90766.0
22/10/19,3:45PM,103432.0
22/10/19,3:30PM,116762.0
22/10/19,3:15PM,127838.0
22/10/19,3:00PM,137242.0
22/10/19,2:45PM,146563.0
22/10/19,2:30PM,154186.0
22/10/19,2:15PM,160578.0
22/10/19,2:00PM,165855.0
22/10/19,1:45PM,168804.0
22/10/19,1:30PM,175094.0
22/10/19,1:15PM,178779.0
22/10/19,1:00PM,182865.0
22/10/19,12:45PM,184174.0
22/10/19,12:30PM,185316.0
22/10/19,12:15PM,186256.0
22/10/19,12:00PM,184987.0
22/10/19,11:45AM,182309.0
22/10/19,11:30AM,179913.0
22/10/19,11:15AM,175656.0
22/10/19,11:00AM,170412.0
22/10/19,10:45AM,164875.0
22/10/19,10:30AM,159435.0
22/10/19,10:15AM,154042.0
22/10/19,10:00AM,147546.0
22/10/19,9:45AM,137163.0
22/10/19,9:30AM,126270.0
22/10/19,9:15AM,114535.0
22/10/19,9:00AM,102406.0
22/10/19,8:45AM,88397.0
22/10/19,8:30AM,72925.0
22/10/19,8:15AM,57510.0
22/10/19,8:00AM,42162.0
22/10/19,7:45AM,27664.0
22/10/19,7:30AM,14690.0
22/10/19,7:15AM,4657.0
22/10/19,7:00AM,1057.0
22/10/19,6:45AM,33.0
22/10/19,6:30AM,60.0
21/10/19,6:00PM,60.0
21/10/19,5:45PM,867.0
21/10/19,5:30PM,2699.0
21/10/19,5:15PM,5446.0
21/10/19,5:00PM,29004.0
21/10/19,4:45PM,47378.0
21/10/19,4:30PM,62309.0
21/10/19,4:15PM,76976.0
21/10/19,4:00PM,90424.0
21/10/19,3:45PM,103921.0
21/10/19,3:30PM,117093.0
21/10/19,3:15PM,126959.0
21/10/19,3:00PM,136138.0
21/10/19,2:45PM,144768.0
21/10/19,2:30PM,153038.0
21/10/19,2:15PM,159548.0
21/10/19,2:00PM,166549.0
21/10/19,1:45PM,171439.0
21/10/19,1:30PM,176103.0
21/10/19,1:15PM,179777.0
21/10/19,1:00PM,181638.0
21/10/19,12:45PM,184734.0
21/10/19,12:30PM,186304.0
21/10/19,12:15PM,185574.0
21/10/19,12:00PM,184746.0
21/10/19,11:45AM,183124.0
21/10/19,11:30AM,180658.0
21/10/19,11:15AM,177419.0
21/10/19,11:00AM,173110.0
21/10/19,10:45AM,167230.0
21/10/19,10:30AM,161052.0
21/10/19,10:15AM,154842.0
21/10/19,10:00AM,147848.0
21/10/19,9:45AM,137548.0
21/10/19,9:30AM,127278.0
21/10/19,9:15AM,115109.0
21/10/19,9:00AM,102195.0
21/10/19,8:45AM,88164.0
21/10/19,8:30AM,72707.0
21/10/19,8:15AM,57479.0
21/10/19,8:00AM,42905.0
21/10/19,7:45AM,28770.0
21/10/19,7:30AM,15944.0
21/10/19,7:15AM,5300.0
21/10/19,7:00AM,1512.0
21/10/19,6:45AM,60.0
20/10/19,6:15PM,60.0
20/10/19,6:00PM,76.0
20/10/19,5:45PM,1531.0
20/10/19,5:30PM,3749.0
20/10/19,5:15PM,7579.0
20/10/19,5:00PM,29849.0
20/10/19,4:45PM,47088.0
20/10/19,4:30PM,61865.0
20/10/19,4:15PM,76640.0
20/10/19,4:00PM,90497.0
20/10/19,3:45PM,104350.0
20/10/19,3:30PM,117643.0
20/10/19,3:15PM,128628.0
20/10/19,3:00PM,138569.0
20/10/19,2:45PM,147638.0
20/10/19,2:30PM,156480.0
20/10/19,2:15PM,162508.0
20/10/19,2:00PM,168927.0
20/10/19,1:45PM,174590.0
20/10/19,1:30PM,180229.0
20/10/19,1:15PM,184985.0
20/10/19,1:00PM,188411.0
20/10/19,12:45PM,189988.0
20/10/19,12:30PM,191326.0
20/10/19,12:15PM,189719.0
20/10/19,12:00PM,188106.0
20/10/19,11:45AM,185798.0
20/10/19,11:30AM,182125.0
20/10/19,11:15AM,179291.0
20/10/19,11:00AM,176476.0
20/10/19,10:45AM,171508.0
20/10/19,10:30AM,164925.0
20/10/19,10:15AM,157361.0
20/10/19,10:00AM,150119.0
20/10/19,9:45AM,139945.0
20/10/19,9:30AM,127991.0
20/10/19,9:15AM,116313.0
20/10/19,9:00AM,103806.0
20/10/19,8:45AM,90428.0
20/10/19,8:30AM,75554.0
20/10/19,8:15AM,60257.0
20/10/19,8:00AM,45504.0
20/10/19,7:45AM,30542.0
20/10/19,7:30AM,17012.0
20/10/19,7:15AM,5977.0
20/10/19,7:00AM,1606.0
20/10/19,6:45AM,19.0
20/10/19,6:30AM,60.0
19/10/19,6:15PM,60.0
19/10/19,6:00PM,79.0
19/10/19,5:45PM,1642.0
19/10/19,5:30PM,3734.0
19/10/19,5:15PM,8237.0
19/10/19,5:00PM,33278.0
19/10/19,4:45PM,50466.0
19/10/19,4:30PM,66464.0
19/10/19,4:15PM,81358.0
19/10/19,4:00PM,96572.0
19/10/19,3:45PM,108914.0
19/10/19,3:30PM,126922.0
19/10/19,3:15PM,122018.0
19/10/19,3:00PM,145556.0
19/10/19,2:45PM,153047.0
19/10/19,2:30PM,160645.0
19/10/19,2:15PM,166567.0
19/10/19,2:00PM,172182.0
19/10/19,1:45PM,175162.0
19/10/19,1:30PM,181790.0
19/10/19,1:15PM,186374.0
19/10/19,1:00PM,191312.0
19/10/19,12:45PM,193170.0
19/10/19,12:30PM,192902.0
19/10/19,12:15PM,190852.0
19/10/19,12:00PM,188440.0
19/10/19,11:45AM,187480.0
19/10/19,11:30AM,185092.0
19/10/19,11:15AM,182093.0
19/10/19,11:00AM,177636.0
19/10/19,10:45AM,171886.0
19/10/19,10:30AM,165117.0
19/10/19,10:15AM,157573.0
19/10/19,10:00AM,150486.0
19/10/19,9:45AM,139439.0
19/10/19,9:30AM,128015.0
19/10/19,9:15AM,116367.0
19/10/19,9:00AM,104216.0
19/10/19,8:45AM,90692.0
19/10/19,8:30AM,75118.0
19/10/19,8:15AM,59015.0
19/10/19,8:00AM,43799.0
19/10/19,7:45AM,28819.0
19/10/19,7:30AM,16434.0
19/10/19,7:15AM,6682.0
19/10/19,7:00AM,1980.0
19/10/19,6:45AM,60.0
18/10/19,6:15PM,60.0
18/10/19,6:00PM,24.0
18/10/19,5:45PM,2890.0
18/10/19,5:30PM,5223.0
18/10/19,5:15PM,10840.0
18/10/19,5:00PM,32989.0
18/10/19,4:45PM,49458.0
18/10/19,4:30PM,65034.0
18/10/19,4:15PM,78926.0
18/10/19,4:00PM,92815.0
18/10/19,3:45PM,105791.0
18/10/19,3:30PM,118845.0
18/10/19,3:15PM,129488.0
18/10/19,3:00PM,138882.0
18/10/19,2:45PM,147033.0
18/10/19,2:30PM,155697.0
18/10/19,2:15PM,163059.0
18/10/19,2:00PM,168442.0
18/10/19,1:45PM,172556.0
18/10/19,1:30PM,179368.0
18/10/19,1:15PM,184740.0
18/10/19,1:00PM,188668.0
18/10/19,12:45PM,190509.0
18/10/19,12:30PM,192712.0
18/10/19,12:15PM,192571.0
18/10/19,12:00PM,189659.0
18/10/19,11:45AM,186711.0
18/10/19,11:30AM,184345.0
18/10/19,11:15AM,180857.0
18/10/19,11:00AM,176489.0
18/10/19,10:45AM,170283.0
18/10/19,10:30AM,164240.0
18/10/19,10:15AM,156852.0
18/10/19,10:00AM,149175.0
18/10/19,9:45AM,137600.0
18/10/19,9:30AM,124437.0
18/10/19,9:15AM,112524.0
18/10/19,9:00AM,100112.0
18/10/19,8:45AM,85415.0
18/10/19,8:30AM,70283.0
18/10/19,8:15AM,56289.0
18/10/19,8:00AM,41327.0
18/10/19,7:45AM,27677.0
18/10/19,7:30AM,16045.0
18/10/19,7:15AM,7844.0
18/10/19,7:00AM,2250.0
18/10/19,6:45AM,76.0
18/10/19,6:30AM,60.0
17/10/19,6:30PM,60.0
17/10/19,6:15PM,102.0
17/10/19,6:00PM,202.0
17/10/19,5:45PM,3413.0
17/10/19,5:30PM,5766.0
17/10/19,5:15PM,12302.0
17/10/19,5:00PM,35320.0
17/10/19,4:45PM,52327.0
17/10/19,4:30PM,68337.0
17/10/19,4:15PM,82953.0
17/10/19,4:00PM,97157.0
17/10/19,3:45PM,111304.0
17/10/19,3:30PM,125181.0
17/10/19,3:15PM,135655.0
17/10/19,3:00PM,146142.0
17/10/19,2:45PM,154470.0
17/10/19,2:30PM,163109.0
17/10/19,2:15PM,169440.0
17/10/19,2:00PM,175834.0
17/10/19,1:45PM,183705.0
17/10/19,1:30PM,188871.0
17/10/19,1:15PM,193720.0
