"Date (dd/mm/yy)","Generated (kWh)","Efficiency (kWh/kW)","Exported (kWh)","Peak Power (kW)","Peak Time (hh:mm:am/pm)","Weather Conditions (category)"
27/10/19,49.856,3.5610000000000004,42.328,10.607999999999999,1:30PM,Fine
26/10/19,63.192,4.513999999999999,49.18899999999999,9.844,12:30PM,Fine
25/10/19,9.955,0.711,,2.8710000000000004,9:10AM,Showers
24/10/19,22.493000000000002,1.607,19.287,9.923,11:30AM,Partly Cloudy
23/10/19,63.435,4.531000000000001,55.726000000000006,9.789,1:00PM,Fine
22/10/19,65.687,4.692,57.801,10.272,12:30PM,Fine
21/10/19,48.935,3.495,43.696999999999996,9.935,12:35PM,Partly Cloudy
20/10/19,65.76100000000001,4.697,51.977,10.126,12:35PM,Fine
19/10/19,67.311,4.808,48.174,10.193,12:40PM,Fine
18/10/19,66.762,4.769,55.711999999999996,10.21,12:25PM,Fine
17/10/19,68.176,4.87,59.901,10.327,12:15PM,Fine
16/10/19,64.943,4.638999999999999,56.79,9.954,12:30PM,Fine
15/10/19,67.52600000000001,4.823,58.68,10.245999999999999,12:10PM,Fine
14/10/19,69.329,4.952,60.29,10.390999999999998,1:00PM,Fine
13/10/19,69.76100000000001,4.9830000000000005,55.501000000000005,10.475999999999999,12:40PM,Fine
12/10/19,69.555,4.968,54.485,10.459000000000001,12:45PM,Fine
11/10/19,72.071,5.148,60.98,10.739,12:35PM,Fine
10/10/19,70.248,5.018,61.092,10.385,12:40PM,Fine
09/10/19,71.314,5.093999999999999,62.022,10.444,12:50PM,Fine
08/10/19,70.741,5.053,60.869,10.374,12:45PM,Fine
07/10/19,70.876,5.063,59.226000000000006,10.284,12:55PM,Fine
06/10/19,71.80199999999999,5.129,57.917,10.360999999999999,12:00PM,Fine
05/10/19,73.12100000000001,5.223,60.535,10.562000000000001,12:20PM,Fine
04/10/19,73.931,5.281000000000001,65.14699999999999,10.664000000000001,12:35PM,Fine
03/10/19,73.692,5.263999999999999,60.946999999999996,10.675,12:45PM,Fine
02/10/19,74.09899999999999,5.292999999999999,64.775,10.735,12:40PM,Fine
01/10/19,73.95,5.282,61.588,10.925,12:30PM,Fine
30/09/19,75.863,5.419,52.869,10.965,12:35PM,Fine
29/09/19,65.92699999999999,4.709,39.438,11.918,11:35AM,Fine
28/09/19,18.237000000000002,1.3030000000000002,3.136,4.772,2:40PM,Cloudy
27/09/19,33.437,2.388,14.213,8.432,2:55PM,Mostly Cloudy
26/09/19,16.483,1.177,4.46,6.138999999999999,1:40PM,Cloudy
25/09/19,64.141,4.582,46.041000000000004,11.220999999999998,12:10PM,Fine
24/09/19,68.758,4.9110000000000005,56.63,10.164,12:35PM,Fine
23/09/19,71.968,5.141,62.378,10.574000000000002,1:15PM,Fine
22/09/19,65.131,4.652,52.161,10.98,12:20PM,Fine
21/09/19,72.21600000000001,5.1579999999999995,57.35,10.419,12:15PM,Fine
20/09/19,73.959,5.2829999999999995,55.177,10.616,12:55PM,Fine
19/09/19,73.888,5.278,58.70399999999999,10.672,1:10PM,Fine
18/09/19,74.71300000000001,5.337000000000001,59.657,10.759,12:55PM,Fine
17/09/19,73.666,5.2620000000000005,61.883,10.65,1:00PM,Fine
16/09/19,67.707,4.836,55.62,10.408,12:50PM,Fine
15/09/19,68.006,4.8580000000000005,52.601000000000006,10.37,1:45PM,Fine
14/09/19,71.257,5.09,53.843,10.383,12:50PM,Fine
13/09/19,71.542,5.11,54.802,10.323,12:50PM,Fine
12/09/19,72.597,5.186,58.118,10.474,12:35PM,Fine
11/09/19,67.757,4.84,56.343999999999994,10.854000000000001,12:55PM,Fine
10/09/19,66.396,4.743,55.901,10.798,12:50PM,Fine
09/09/19,75.589,5.399,65.875,10.825,12:35PM,Fine
08/09/19,75.834,5.417000000000001,56.46,10.937000000000001,1:05PM,Fine
07/09/19,72.568,5.183,549,10.443,1:10PM,Fine
06/09/19,70.762,5.053999999999999,49.495,10.449000000000002,12:45PM,Fine
05/09/19,67.687,4.835,45.06100000000001,199,12:55PM,Fine
04/09/19,583,3.577,32.52,11.248,12:35PM,Partly Cloudy
03/09/19,68.523,4.895,44.81100000000001,10.609000000000002,1:00PM,Fine
02/09/19,60.993,4.357,36.594,10.495,12:15PM,Partly Cloudy
01/09/19,69.561,4.968999999999999,48.843,10.24,1:10PM,Fine
31/08/19,71.734,5.124,47.19,10.22,12:10PM,Fine
30/08/19,71.133,5.081,54.428999999999995,10.224,12:40PM,Fine
29/08/19,71.495,5.107,50.102,10.176,1:00PM,Fine
28/08/19,72.322,5.166,58.62,10.392999999999999,12:55PM,Fine
27/08/19,71.032,5.074,57.942,10.15,1:10PM,Fine
26/08/19,69.485,4.963,44.74,10.148,1:10PM,Fine
25/08/19,71.515,5.1080000000000005,48.038999999999994,193,12:50PM,Fine
24/08/19,72.428,5.172999999999999,45.238,10.337,1:20PM,Fine
23/08/19,74.47800000000001,5.32,60.753,10.533,12:40PM,Fine
22/08/19,75.928,5.422999999999999,63.403,10.625,12:35PM,Fine
21/08/19,74.365,5.312,61.917,10.52,12:40PM,Fine
20/08/19,74.916,5.351,63.177,10.575,12:45PM,Fine
19/08/19,75.902,5.422000000000001,64.613,10.626,12:40PM,Fine
18/08/19,76.551,5.468,63.347,10.677999999999999,12:45PM,Fine
17/08/19,76.301,5.45,56.037,10.727,12:15PM,Fine
16/08/19,65.38600000000001,4.67,48.056000000000004,9.297,1:10PM,Partly Cloudy
15/08/19,63.821999999999996,4.559,52.293,9.198,1:05PM,Partly Cloudy
14/08/19,63.282,4.52,49.623000000000005,9.075,1:10PM,Partly Cloudy
13/08/19,64.294,4.592,51.847,9.232000000000001,1:10PM,Partly Cloudy
12/08/19,65.455,4.675,56.026,9.427,12:25PM,Partly Cloudy
11/08/19,65.806,4.7,49.86,9.413,1:00PM,Partly Cloudy
10/08/19,66.123,4.723,56.571999999999996,9.481,1:15PM,Partly Cloudy
09/08/19,65.76899999999999,4.698,54.855,9.344,12:35PM,Partly Cloudy
08/08/19,64.618,4.6160000000000005,53.836000000000006,9.235,1:15PM,Partly Cloudy
07/08/19,63.391000000000005,4.5280000000000005,48.003,9.152000000000001,1:00PM,Partly Cloudy
06/08/19,61.595,4.4,50.102,8.945,12:40PM,Partly Cloudy
05/08/19,64.407,4.601,54.718999999999994,9.109,1:05PM,Partly Cloudy
04/08/19,62.821999999999996,4.487,51.208999999999996,9.181000000000001,12:45PM,Partly Cloudy
03/08/19,62.131,4.438,44.352,9.3,1:35PM,Partly Cloudy
02/08/19,65.318,4.666,43.729,9.055,12:45PM,Partly Cloudy
01/08/19,65.449,4.675,50.998000000000005,9.167,1:20PM,Partly Cloudy
31/07/19,66.331,4.738,55.265,9.334,1:20PM,Partly Cloudy
30/07/19,63.788000000000004,4.556,52.312,9.655,12:20PM,Partly Cloudy
29/07/19,65.926,4.709,53.52,9.279,1:40PM,Partly Cloudy
28/07/19,63.01,4.501,49.976000000000006,9.894,12:35PM,Partly Cloudy
